w,A_A,p_A,A_B,p_B
3.448e+02,-1.743e+01,-2.536e+00,-2.035e+01,-3.575e+00
3.461e+02,-1.742e+01,-2.549e+00,-2.088e+01,-3.579e+00
3.473e+02,-1.741e+01,-2.563e+00,-2.144e+01,-3.578e+00
3.486e+02,-1.740e+01,-2.576e+00,-2.202e+01,-3.574e+00
3.498e+02,-1.740e+01,-2.590e+00,-2.263e+01,-3.565e+00
3.511e+02,-1.741e+01,-2.604e+00,-2.327e+01,-3.551e+00
3.523e+02,-1.741e+01,-2.618e+00,-2.393e+01,-3.530e+00
3.536e+02,-1.742e+01,-2.632e+00,-2.462e+01,-3.502e+00
3.548e+02,-1.744e+01,-2.647e+00,-2.533e+01,-3.464e+00
3.561e+02,-1.746e+01,-2.661e+00,-2.604e+01,-3.414e+00
3.573e+02,-1.748e+01,-2.675e+00,-2.675e+01,-3.352e+00
3.586e+02,-1.751e+01,-2.690e+00,-2.742e+01,-3.275e+00
3.598e+02,-1.754e+01,-2.705e+00,-2.802e+01,-3.183e+00
3.611e+02,-1.757e+01,-2.719e+00,-2.850e+01,-3.076e+00
3.623e+02,-1.761e+01,-2.734e+00,-2.883e+01,-2.957e+00
3.636e+02,-1.765e+01,-2.749e+00,-2.897e+01,-2.833e+00
3.648e+02,-1.770e+01,-2.764e+00,-2.890e+01,-2.709e+00
3.661e+02,-1.774e+01,-2.778e+00,-2.865e+01,-2.593e+00
3.673e+02,-1.780e+01,-2.793e+00,-2.825e+01,-2.490e+00
3.686e+02,-1.785e+01,-2.808e+00,-2.775e+01,-2.401e+00
3.698e+02,-1.791e+01,-2.823e+00,-2.719e+01,-2.328e+00
3.711e+02,-1.798e+01,-2.838e+00,-2.660e+01,-2.269e+00
3.723e+02,-1.805e+01,-2.853e+00,-2.600e+01,-2.223e+00
3.736e+02,-1.812e+01,-2.867e+00,-2.542e+01,-2.187e+00
3.748e+02,-1.819e+01,-2.882e+00,-2.485e+01,-2.161e+00
3.761e+02,-1.827e+01,-2.897e+00,-2.432e+01,-2.142e+00
3.773e+02,-1.835e+01,-2.911e+00,-2.381e+01,-2.129e+00
3.786e+02,-1.844e+01,-2.926e+00,-2.332e+01,-2.121e+00
3.798e+02,-1.853e+01,-2.940e+00,-2.287e+01,-2.118e+00
3.811e+02,-1.863e+01,-2.955e+00,-2.244e+01,-2.119e+00
3.823e+02,-1.872e+01,-2.969e+00,-2.204e+01,-2.123e+00
3.836e+02,-1.883e+01,-2.983e+00,-2.166e+01,-2.129e+00
3.848e+02,-1.893e+01,-2.997e+00,-2.131e+01,-2.138e+00
3.861e+02,-1.904e+01,-3.011e+00,-2.098e+01,-2.148e+00
3.873e+02,-1.916e+01,-3.025e+00,-2.067e+01,-2.161e+00
3.886e+02,-1.927e+01,-3.038e+00,-2.038e+01,-2.174e+00
3.898e+02,-1.940e+01,-3.052e+00,-2.011e+01,-2.190e+00
3.911e+02,-1.952e+01,-3.065e+00,-1.985e+01,-2.206e+00
3.923e+02,-1.965e+01,-3.078e+00,-1.962e+01,-2.223e+00
3.936e+02,-1.979e+01,-3.091e+00,-1.939e+01,-2.241e+00
3.948e+02,-1.992e+01,-3.104e+00,-1.918e+01,-2.260e+00
3.961e+02,-2.007e+01,-3.116e+00,-1.899e+01,-2.280e+00
3.973e+02,-2.021e+01,-3.128e+00,-1.881e+01,-2.300e+00
3.986e+02,-2.037e+01,-3.140e+00,-1.864e+01,-2.321e+00
3.998e+02,-2.052e+01,-3.152e+00,-1.849e+01,-2.342e+00
4.011e+02,-2.068e+01,-3.163e+00,-1.834e+01,-2.364e+00
4.024e+02,-2.085e+01,-3.174e+00,-1.821e+01,-2.386e+00
4.036e+02,-2.101e+01,-3.184e+00,-1.809e+01,-2.409e+00
4.049e+02,-2.119e+01,-3.194e+00,-1.798e+01,-2.431e+00
4.061e+02,-2.137e+01,-3.204e+00,-1.788e+01,-2.454e+00
4.074e+02,-2.155e+01,-3.213e+00,-1.779e+01,-2.478e+00
4.086e+02,-2.174e+01,-3.222e+00,-1.771e+01,-2.502e+00
4.099e+02,-2.193e+01,-3.230e+00,-1.764e+01,-2.525e+00
4.111e+02,-2.212e+01,-3.238e+00,-1.757e+01,-2.549e+00
4.124e+02,-2.232e+01,-3.245e+00,-1.752e+01,-2.574e+00
4.136e+02,-2.253e+01,-3.252e+00,-1.747e+01,-2.598e+00
4.149e+02,-2.274e+01,-3.258e+00,-1.744e+01,-2.623e+00
4.161e+02,-2.295e+01,-3.263e+00,-1.741e+01,-2.647e+00
4.174e+02,-2.317e+01,-3.267e+00,-1.739e+01,-2.672e+00
4.186e+02,-2.339e+01,-3.271e+00,-1.738e+01,-2.697e+00
4.199e+02,-2.362e+01,-3.274e+00,-1.737e+01,-2.722e+00
4.211e+02,-2.385e+01,-3.276e+00,-1.738e+01,-2.747e+00
4.224e+02,-2.409e+01,-3.277e+00,-1.739e+01,-2.772e+00
4.236e+02,-2.433e+01,-3.276e+00,-1.741e+01,-2.797e+00
4.249e+02,-2.457e+01,-3.275e+00,-1.743e+01,-2.822e+00
4.261e+02,-2.481e+01,-3.273e+00,-1.747e+01,-2.848e+00
4.274e+02,-2.506e+01,-3.269e+00,-1.751e+01,-2.873e+00
4.286e+02,-2.531e+01,-3.264e+00,-1.756e+01,-2.898e+00
4.299e+02,-2.556e+01,-3.258e+00,-1.761e+01,-2.923e+00
4.311e+02,-2.581e+01,-3.250e+00,-1.768e+01,-2.949e+00
4.324e+02,-2.606e+01,-3.240e+00,-1.775e+01,-2.974e+00
4.336e+02,-2.631e+01,-3.229e+00,-1.783e+01,-2.999e+00
4.349e+02,-2.656e+01,-3.217e+00,-1.792e+01,-3.024e+00
4.361e+02,-2.680e+01,-3.202e+00,-1.801e+01,-3.049e+00
4.374e+02,-2.704e+01,-3.186e+00,-1.812e+01,-3.074e+00
4.386e+02,-2.727e+01,-3.168e+00,-1.823e+01,-3.099e+00
4.399e+02,-2.750e+01,-3.148e+00,-1.835e+01,-3.124e+00
4.411e+02,-2.771e+01,-3.127e+00,-1.847e+01,-3.148e+00
4.424e+02,-2.792e+01,-3.104e+00,-1.861e+01,-3.173e+00
4.436e+02,-2.811e+01,-3.079e+00,-1.875e+01,-3.197e+00
4.449e+02,-2.828e+01,-3.052e+00,-1.891e+01,-3.222e+00
4.461e+02,-2.844e+01,-3.025e+00,-1.907e+01,-3.246e+00
4.474e+02,-2.858e+01,-2.995e+00,-1.924e+01,-3.270e+00
4.486e+02,-2.870e+01,-2.965e+00,-1.942e+01,-3.293e+00
4.499e+02,-2.880e+01,-2.935e+00,-1.961e+01,-3.317e+00
