w,A,u,m,p
1.797e+03,-4.396e+01,-4.064e+01,-4.666e+01,-2.266e+00
1.800e+03,-4.375e+01,-4.067e+01,-4.669e+01,-2.291e+00
1.802e+03,-4.356e+01,-4.069e+01,-4.671e+01,-2.316e+00
1.805e+03,-4.338e+01,-4.072e+01,-4.674e+01,-2.341e+00
1.807e+03,-4.321e+01,-4.074e+01,-4.676e+01,-2.366e+00
1.810e+03,-4.305e+01,-4.076e+01,-4.678e+01,-2.391e+00
1.812e+03,-4.290e+01,-4.079e+01,-4.681e+01,-2.416e+00
1.815e+03,-4.275e+01,-4.081e+01,-4.683e+01,-2.441e+00
1.817e+03,-4.262e+01,-4.084e+01,-4.686e+01,-2.466e+00
1.820e+03,-4.249e+01,-4.086e+01,-4.688e+01,-2.491e+00
1.822e+03,-4.237e+01,-4.088e+01,-4.690e+01,-2.516e+00
1.825e+03,-4.226e+01,-4.091e+01,-4.693e+01,-2.541e+00
1.827e+03,-4.215e+01,-4.093e+01,-4.695e+01,-2.566e+00
1.830e+03,-4.206e+01,-4.095e+01,-4.698e+01,-2.591e+00
1.832e+03,-4.197e+01,-4.098e+01,-4.700e+01,-2.616e+00
1.835e+03,-4.188e+01,-4.100e+01,-4.702e+01,-2.641e+00
1.837e+03,-4.181e+01,-4.103e+01,-4.705e+01,-2.666e+00
1.840e+03,-4.174e+01,-4.105e+01,-4.707e+01,-2.691e+00
1.842e+03,-4.167e+01,-4.107e+01,-4.709e+01,-2.716e+00
1.845e+03,-4.162e+01,-4.110e+01,-4.712e+01,-2.741e+00
1.847e+03,-4.156e+01,-4.112e+01,-4.714e+01,-2.766e+00
1.850e+03,-4.152e+01,-4.114e+01,-4.716e+01,-2.791e+00
1.852e+03,-4.148e+01,-4.117e+01,-4.719e+01,-2.816e+00
1.855e+03,-4.144e+01,-4.119e+01,-4.721e+01,-2.841e+00
1.857e+03,-4.142e+01,-4.121e+01,-4.723e+01,-2.866e+00
1.860e+03,-4.139e+01,-4.124e+01,-4.726e+01,-2.891e+00
1.862e+03,-4.138e+01,-4.126e+01,-4.728e+01,-2.916e+00
1.865e+03,-4.137e+01,-4.128e+01,-4.730e+01,-2.941e+00
1.867e+03,-4.136e+01,-4.131e+01,-4.733e+01,-2.966e+00
1.870e+03,-4.136e+01,-4.133e+01,-4.735e+01,-2.991e+00
1.872e+03,-4.136e+01,-4.135e+01,-4.737e+01,-3.016e+00
1.875e+03,-4.137e+01,-4.138e+01,-4.740e+01,-3.041e+00
1.877e+03,-4.139e+01,-4.140e+01,-4.742e+01,-3.066e+00
1.880e+03,-4.141e+01,-4.142e+01,-4.744e+01,-3.091e+00
1.882e+03,-4.144e+01,-4.145e+01,-4.747e+01,-3.116e+00
1.885e+03,-4.147e+01,-4.147e+01,-4.749e+01,-3.141e+00
1.887e+03,-4.151e+01,-4.149e+01,-4.751e+01,-3.166e+00
1.890e+03,-4.155e+01,-4.152e+01,-4.754e+01,-3.191e+00
1.892e+03,-4.160e+01,-4.154e+01,-4.756e+01,-3.216e+00
1.895e+03,-4.165e+01,-4.156e+01,-4.758e+01,-3.241e+00
1.897e+03,-4.171e+01,-4.158e+01,-4.760e+01,-3.266e+00
1.900e+03,-4.177e+01,-4.161e+01,-4.763e+01,-3.291e+00
1.902e+03,-4.184e+01,-4.163e+01,-4.765e+01,-3.316e+00
1.905e+03,-4.192e+01,-4.165e+01,-4.767e+01,-3.341e+00
1.907e+03,-4.200e+01,-4.168e+01,-4.770e+01,-3.366e+00
1.910e+03,-4.209e+01,-4.170e+01,-4.772e+01,-3.391e+00
1.912e+03,-4.218e+01,-4.172e+01,-4.774e+01,-3.416e+00
1.915e+03,-4.228e+01,-4.174e+01,-4.776e+01,-3.441e+00
1.917e+03,-4.239e+01,-4.177e+01,-4.779e+01,-3.466e+00
1.920e+03,-4.250e+01,-4.179e+01,-4.781e+01,-3.491e+00
1.922e+03,-4.262e+01,-4.181e+01,-4.783e+01,-3.516e+00
1.925e+03,-4.274e+01,-4.183e+01,-4.785e+01,-3.541e+00
1.927e+03,-4.287e+01,-4.186e+01,-4.788e+01,-3.566e+00
1.930e+03,-4.301e+01,-4.188e+01,-4.790e+01,-3.592e+00
1.932e+03,-4.315e+01,-4.190e+01,-4.792e+01,-3.617e+00
1.935e+03,-4.331e+01,-4.192e+01,-4.794e+01,-3.642e+00
1.937e+03,-4.347e+01,-4.195e+01,-4.797e+01,-3.667e+00
1.940e+03,-4.363e+01,-4.197e+01,-4.799e+01,-3.692e+00
1.942e+03,-4.381e+01,-4.199e+01,-4.801e+01,-3.717e+00
1.945e+03,-4.399e+01,-4.201e+01,-4.803e+01,-3.742e+00
1.947e+03,-4.418e+01,-4.204e+01,-4.806e+01,-3.767e+00
1.950e+03,-4.439e+01,-4.206e+01,-4.808e+01,-3.792e+00
1.952e+03,-4.460e+01,-4.208e+01,-4.810e+01,-3.817e+00
1.955e+03,-4.482e+01,-4.210e+01,-4.812e+01,-3.842e+00
1.957e+03,-4.504e+01,-4.213e+01,-4.815e+01,-3.867e+00
1.960e+03,-4.529e+01,-4.215e+01,-4.817e+01,-3.892e+00
1.962e+03,-4.554e+01,-4.217e+01,-4.819e+01,-3.917e+00
1.965e+03,-4.580e+01,-4.219e+01,-4.821e+01,-3.942e+00
1.967e+03,-4.608e+01,-4.221e+01,-4.823e+01,-3.967e+00
1.970e+03,-4.636e+01,-4.224e+01,-4.826e+01,-3.992e+00
1.972e+03,-4.667e+01,-4.226e+01,-4.828e+01,-4.017e+00
1.975e+03,-4.699e+01,-4.228e+01,-4.830e+01,-4.042e+00
1.977e+03,-4.732e+01,-4.230e+01,-4.832e+01,-4.067e+00
1.980e+03,-4.767e+01,-4.232e+01,-4.834e+01,-4.092e+00
1.982e+03,-4.804e+01,-4.235e+01,-4.837e+01,-4.117e+00
1.985e+03,-4.843e+01,-4.237e+01,-4.839e+01,-4.142e+00
1.987e+03,-4.884e+01,-4.239e+01,-4.841e+01,-4.167e+00
1.990e+03,-4.928e+01,-4.241e+01,-4.843e+01,-4.192e+00
1.992e+03,-4.974e+01,-4.243e+01,-4.845e+01,-4.217e+00
1.995e+03,-5.023e+01,-4.246e+01,-4.848e+01,-4.242e+00
1.997e+03,-5.075e+01,-4.248e+01,-4.850e+01,-4.267e+00
2.000e+03,-5.131e+01,-4.250e+01,-4.852e+01,-4.292e+00
