w,A,p
7.808e+01,4.085e-02,-3.960e+00
7.828e+01,4.076e-02,-3.978e+00
7.848e+01,4.066e-02,-3.996e+00
7.868e+01,4.055e-02,-4.014e+00
7.888e+01,4.043e-02,-4.032e+00
7.908e+01,4.030e-02,-4.051e+00
7.928e+01,4.015e-02,-4.069e+00
7.948e+01,4.000e-02,-4.087e+00
7.968e+01,3.983e-02,-4.105e+00
7.988e+01,3.965e-02,-4.123e+00
8.008e+01,3.946e-02,-4.142e+00
8.028e+01,3.927e-02,-4.160e+00
8.048e+01,3.906e-02,-4.178e+00
8.068e+01,3.884e-02,-4.196e+00
8.088e+01,3.861e-02,-4.215e+00
8.108e+01,3.838e-02,-4.233e+00
8.128e+01,3.813e-02,-4.251e+00
8.148e+01,3.787e-02,-4.269e+00
8.168e+01,3.761e-02,-4.287e+00
8.188e+01,3.734e-02,-4.306e+00
8.208e+01,3.706e-02,-4.324e+00
8.228e+01,3.677e-02,-4.342e+00
8.248e+01,3.647e-02,-4.360e+00
8.268e+01,3.617e-02,-4.378e+00
8.288e+01,3.586e-02,-4.397e+00
8.308e+01,3.554e-02,-4.415e+00
8.328e+01,3.521e-02,-4.433e+00
8.348e+01,3.488e-02,-4.451e+00
8.368e+01,3.454e-02,-4.469e+00
8.388e+01,3.419e-02,-4.488e+00
8.408e+01,3.384e-02,-4.506e+00
8.428e+01,3.348e-02,-4.524e+00
8.448e+01,3.312e-02,-4.542e+00
8.468e+01,3.275e-02,-4.560e+00
8.488e+01,3.237e-02,-4.579e+00
8.509e+01,3.199e-02,-4.597e+00
8.529e+01,3.160e-02,-4.615e+00
8.549e+01,3.121e-02,-4.633e+00
8.569e+01,3.081e-02,-4.652e+00
8.589e+01,3.041e-02,-4.670e+00
8.609e+01,3.001e-02,-4.688e+00
8.629e+01,2.960e-02,-4.706e+00
8.649e+01,2.918e-02,-4.724e+00
8.669e+01,2.877e-02,-4.743e+00
8.689e+01,2.834e-02,-4.761e+00
8.709e+01,2.792e-02,-4.779e+00
8.729e+01,2.749e-02,-4.797e+00
8.749e+01,2.706e-02,-4.815e+00
8.769e+01,2.662e-02,-4.834e+00
8.789e+01,2.619e-02,-4.852e+00
8.809e+01,2.575e-02,-4.870e+00
8.829e+01,2.530e-02,-4.888e+00
8.849e+01,2.486e-02,-4.906e+00
8.869e+01,2.441e-02,-4.925e+00
8.889e+01,2.396e-02,-4.943e+00
8.909e+01,2.351e-02,-4.961e+00
8.929e+01,2.306e-02,-4.979e+00
8.949e+01,2.260e-02,-4.997e+00
8.969e+01,2.215e-02,-5.016e+00
8.989e+01,2.169e-02,-5.034e+00
9.009e+01,2.123e-02,-5.052e+00
9.029e+01,2.077e-02,-5.070e+00
9.049e+01,2.032e-02,-5.089e+00
9.069e+01,1.985e-02,-5.107e+00
9.089e+01,1.939e-02,-5.125e+00
9.109e+01,1.893e-02,-5.143e+00
9.129e+01,1.847e-02,-5.161e+00
9.149e+01,1.801e-02,-5.180e+00
9.169e+01,1.755e-02,-5.198e+00
9.189e+01,1.709e-02,-5.216e+00
9.209e+01,1.663e-02,-5.234e+00
9.229e+01,1.617e-02,-5.252e+00
9.249e+01,1.571e-02,-5.271e+00
9.269e+01,1.525e-02,-5.289e+00
9.289e+01,1.479e-02,-5.307e+00
9.309e+01,1.433e-02,-5.325e+00
9.329e+01,1.388e-02,-5.343e+00
9.349e+01,1.342e-02,-5.362e+00
9.369e+01,1.297e-02,-5.380e+00
9.389e+01,1.252e-02,-5.398e+00
9.409e+01,1.207e-02,-5.416e+00
9.429e+01,1.162e-02,-5.434e+00
9.449e+01,1.117e-02,-5.453e+00
9.469e+01,1.073e-02,-5.471e+00
9.489e+01,1.029e-02,-5.489e+00
9.510e+01,9.846e-03,-5.507e+00
9.530e+01,9.408e-03,-5.526e+00
9.550e+01,8.972e-03,-5.544e+00
9.570e+01,8.539e-03,-5.562e+00
9.590e+01,8.108e-03,-5.580e+00
9.610e+01,7.680e-03,-5.598e+00
9.630e+01,7.255e-03,-5.617e+00
9.650e+01,6.833e-03,-5.635e+00
9.670e+01,6.414e-03,-5.653e+00
9.690e+01,5.998e-03,-5.671e+00
9.710e+01,5.585e-03,-5.689e+00
9.730e+01,5.175e-03,-5.708e+00
9.750e+01,4.769e-03,-5.726e+00
9.770e+01,4.366e-03,-5.744e+00
9.790e+01,3.966e-03,-5.762e+00
9.810e+01,3.570e-03,-5.780e+00
9.830e+01,3.178e-03,-5.799e+00
9.850e+01,2.789e-03,-5.817e+00
9.870e+01,2.404e-03,-5.835e+00
9.890e+01,2.023e-03,-5.853e+00
9.910e+01,1.646e-03,-5.871e+00
9.930e+01,1.273e-03,-5.890e+00
9.950e+01,9.042e-04,-5.908e+00
9.970e+01,5.394e-04,-5.926e+00
9.990e+01,1.787e-04,-5.944e+00
1.001e+02,1.777e-04,-2.821e+00
1.003e+02,5.298e-04,-2.839e+00
1.005e+02,8.775e-04,-2.857e+00
1.007e+02,1.221e-03,-2.876e+00
1.009e+02,1.560e-03,-2.894e+00
1.011e+02,1.894e-03,-2.912e+00
1.013e+02,2.224e-03,-2.930e+00
1.015e+02,2.549e-03,-2.948e+00
1.017e+02,2.869e-03,-2.967e+00
1.019e+02,3.185e-03,-2.985e+00
1.021e+02,3.496e-03,-3.003e+00
1.023e+02,3.802e-03,-3.021e+00
1.025e+02,4.104e-03,-3.039e+00
1.027e+02,4.400e-03,-3.058e+00
1.029e+02,4.692e-03,-3.076e+00
1.031e+02,4.978e-03,-3.094e+00
1.033e+02,5.260e-03,-3.112e+00
1.035e+02,5.537e-03,-3.130e+00
1.037e+02,5.808e-03,-3.149e+00
1.039e+02,6.075e-03,-3.167e+00
1.041e+02,6.337e-03,-3.185e+00
1.043e+02,6.593e-03,-3.203e+00
1.045e+02,6.845e-03,-3.222e+00
1.047e+02,7.091e-03,-3.240e+00
1.049e+02,7.332e-03,-3.258e+00
1.051e+02,7.568e-03,-3.276e+00
1.053e+02,7.799e-03,-3.294e+00
1.055e+02,8.024e-03,-3.313e+00
1.057e+02,8.245e-03,-3.331e+00
1.059e+02,8.460e-03,-3.349e+00
1.061e+02,8.670e-03,-3.367e+00
1.063e+02,8.875e-03,-3.385e+00
1.065e+02,9.074e-03,-3.404e+00
1.067e+02,9.268e-03,-3.422e+00
1.069e+02,9.458e-03,-3.440e+00
1.071e+02,9.641e-03,-3.458e+00
1.073e+02,9.820e-03,-3.476e+00
1.075e+02,9.993e-03,-3.495e+00
1.077e+02,1.016e-02,-3.513e+00
1.079e+02,1.032e-02,-3.531e+00
1.081e+02,1.048e-02,-3.549e+00
1.083e+02,1.063e-02,-3.567e+00
1.085e+02,1.078e-02,-3.586e+00
1.087e+02,1.092e-02,-3.604e+00
1.089e+02,1.106e-02,-3.622e+00
1.091e+02,1.119e-02,-3.640e+00
1.093e+02,1.132e-02,-3.659e+00
1.095e+02,1.144e-02,-3.677e+00
1.097e+02,1.156e-02,-3.695e+00
1.099e+02,1.167e-02,-3.713e+00
1.101e+02,1.178e-02,-3.731e+00
1.103e+02,1.188e-02,-3.750e+00
1.105e+02,1.197e-02,-3.768e+00
1.107e+02,1.206e-02,-3.786e+00
1.109e+02,1.215e-02,-3.804e+00
1.111e+02,1.223e-02,-3.822e+00
1.113e+02,1.231e-02,-3.841e+00
1.115e+02,1.238e-02,-3.859e+00
1.117e+02,1.245e-02,-3.877e+00
1.119e+02,1.251e-02,-3.895e+00
1.121e+02,1.257e-02,-3.913e+00
1.123e+02,1.262e-02,-3.932e+00
1.125e+02,1.267e-02,-3.950e+00
1.127e+02,1.271e-02,-3.968e+00
1.129e+02,1.275e-02,-3.986e+00
1.131e+02,1.278e-02,-4.004e+00
1.133e+02,1.281e-02,-4.023e+00
1.135e+02,1.284e-02,-4.041e+00
1.137e+02,1.286e-02,-4.059e+00
1.139e+02,1.287e-02,-4.077e+00
1.141e+02,1.288e-02,-4.096e+00
1.143e+02,1.289e-02,-4.114e+00
1.145e+02,1.289e-02,-4.132e+00
1.147e+02,1.289e-02,-4.150e+00
1.149e+02,1.289e-02,-4.168e+00
1.151e+02,1.287e-02,-4.187e+00
1.153e+02,1.286e-02,-4.205e+00
1.155e+02,1.284e-02,-4.223e+00
1.157e+02,1.282e-02,-4.241e+00
1.159e+02,1.279e-02,-4.259e+00
1.161e+02,1.276e-02,-4.278e+00
1.163e+02,1.273e-02,-4.296e+00
1.165e+02,1.269e-02,-4.314e+00
1.167e+02,1.265e-02,-4.332e+00
1.169e+02,1.260e-02,-4.350e+00
1.171e+02,1.255e-02,-4.369e+00
1.173e+02,1.250e-02,-4.387e+00
1.175e+02,1.244e-02,-4.405e+00
1.177e+02,1.238e-02,-4.423e+00
1.179e+02,1.232e-02,-4.441e+00
1.181e+02,1.225e-02,-4.460e+00
1.183e+02,1.218e-02,-4.478e+00
1.185e+02,1.211e-02,-4.496e+00
1.187e+02,1.203e-02,-4.514e+00
1.189e+02,1.195e-02,-4.533e+00
1.191e+02,1.187e-02,-4.551e+00
1.193e+02,1.178e-02,-4.569e+00
1.195e+02,1.169e-02,-4.587e+00
1.197e+02,1.160e-02,-4.605e+00
1.199e+02,1.151e-02,-4.624e+00
1.201e+02,1.141e-02,-4.642e+00
